,name,category,address,score,eval_cnt,review_cnt
72,이올로화덕피자,피자,(지번) 서초동 1362,3.9,17건,리뷰 20
73,할리스커피 양재역1호점,커피전문점,(지번) 양재동 13-11,2.7,6건,리뷰 3
74,사람사는 고깃집 김일도 서초구청점,"육류,고기",(지번) 서초동 1364-44,3.3,4건,리뷰 12
75,모범떡볶이1976 양재점,떡볶이,(지번) 서초동 1363-6,3.9,8건,리뷰 18
76,행복한스시 양재역점,"초밥,롤",(지번) 서초동 1366-15,2.7,7건,리뷰 11
77,미가참치,참치회,(지번) 양재동 11-5,3.7,13건,리뷰 18
78,신수사,일식집,(지번) 서초동 1366-18,4.6,5건,리뷰 4
79,플랜B,"호프,요리주점",(지번) 양재동 11-47,3.0,1건,리뷰 20
80,포누이,베트남음식,(지번) 양재동 13-20,3.2,5건,리뷰 126
81,방파제횟집,회,(지번) 도곡동 954-18,3.8,10건,리뷰 14
82,파리바게뜨 양재본점,"제과,베이커리",(지번) 도곡동 959-36,2.9,11건,리뷰 15
83,전주옛날집,한정식,,3.6,5건,리뷰 7
84,세광양대창 양재점,"곱창,막창",(지번) 양재동 13-21,5.0,2건,리뷰 23
85,진주품은활어 양재점,회,(지번) 양재동 14-2,3.6,5건,리뷰 3
86,KFC 양재동점,패스트푸드,(지번) 양재동 12-3,1.8,24건,리뷰 5
87,홍팥집 양재점,디저트카페,(지번) 도곡동 950-5,4.4,5건,리뷰 25
88,원조양꼬치 양재1호점,양꼬치,(지번) 양재동 11-76,4.1,8건,리뷰 8
89,왕삼돈 양재점,"육류,고기",(지번) 서초동 1366-13,3.1,10건,리뷰 5
90,교촌치킨 서초1호점,치킨,(지번) 서초동 1357-56,2.3,12건,리뷰 3
91,에그드랍 양재역점,샌드위치,(지번) 도곡동 957-14,4.8,5건,리뷰 9
92,김영자나주곰탕 서초직영점,곰탕,(지번) 서초동 1357-70,3.7,3건,리뷰 8
93,서울경양,양식,(지번) 도곡동 959-16,3.9,9건,리뷰 26
94,바나프레소 양재역점,카페,(지번) 도곡동 953-1,3.0,2건,리뷰 4
95,가양양꼬치,양꼬치,(지번) 양재동 11-64,2.4,8건,리뷰 12
96,곱창왕김형제,"곱창,막창",(지번) 도곡동 953-1,3.9,10건,리뷰 49
97,스시썸,"초밥,롤",(지번) 양재동 13-20,3.3,7건,리뷰 11
98,BHC치킨 양재역점,치킨,(지번) 양재동 12-10,2.3,9건,리뷰 13
99,훔친대게,"게,대게",(지번) 서초동 1364-46,4.6,19건,리뷰 15
100,양재순대,순대,(지번) 서초동 1364-49,3.7,9건,리뷰 22
101,돈오리,오리,(지번) 양재동 10-6,4.8,5건,리뷰 16
