,name,category,star,star_count,review,address,lat,lng
555,초초베이크숍,디저트카페,3.3,23건,28,서울 서초구 남부순환로 2419 아트빌딩 1층,37.4816830554397,127.015076253596
556,뱅스시,"초밥,롤",4.4,12건,72,서울 서초구 반포대로10길 35 서초지웰 상가동 지하 1층 104호,37.4842424493185,127.013690467291
557,서초갈비 서초본점,"육류,고기",2.6,7건,17,서울 서초구 반포대로 12 2층,37.4818071951364,127.012960997921
558,하일아트레스토랑,이탈리안,3.0,2건,20,서울 서초구 반포대로4길 54 한원빌딩 신관 지하1층,37.4818783884938,127.015809049625
559,나주곰탕 서초본점,곰탕,3.6,43건,34,서울 서초구 효령로 259,37.484510092862,127.012479463325
560,매드포갈릭 예술의전당점,패밀리레스토랑,3.6,26건,57,서울 서초구 반포대로 22 서초평화빌딩 지하1층,37.4828043695941,127.012703271873
561,스타벅스 남부터미널2점,커피전문점,3.6,5건,7,서울 서초구 효령로 274,37.4843935767795,127.014213538613
562,부라문,중화요리,3.6,19건,21,서울 서초구 남부순환로325길 9,37.4817321410906,127.014511066108
563,투썸플레이스 예술의전당점,커피전문점,1.8,6건,4,서울 서초구 반포대로 34 로얄빌딩 1층,37.4837163548787,127.011991342452
564,동보성,중화요리,4.0,3건,26,서울 서초구 남부순환로325길 17,37.481984055308,127.014574995117
565,호남집뼈다귀감자탕,감자탕,3.7,9건,13,서울 서초구 효령로 257,37.4844805586476,127.01229957005
566,오우치,"육류,고기",5.0,8건,21,서울 서초구 효령로 266 2층,37.4841742925994,127.013255264735
567,고래,일본식주점,4.3,3건,22,서울 서초구 반포대로4길 9 서일빌딩 1층,37.4820584621809,127.01318094803
568,오늘와인한잔 남부터미널역점,와인바,4.0,2건,17,서울 서초구 서초중앙로 15 현대슈퍼빌상가동 1층 104호,37.4830108887405,127.015641614311
569,예술상회,한식,5.0,4건,38,서울 서초구 반포대로10길 45 1층,37.48417111057,127.014273308255
570,찜통 남부터미널점,"육류,고기",2.8,38건,32,서울 서초구 효령로 276,37.484383366249,127.014453689027
571,앤티앤스프레즐 서초본점,"제과,베이커리",0.0,0건,9,서울 서초구 효령로 258 시트러스빌딩 1층,37.4839904832456,127.012460494963
