name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,ZMS
브레댄코 뱅뱅사거리점,도넛,서초동 1343-5,3.4,5,1,37.4875494,127.0265788,534.89742539133,21.79
하루나베,일식,서초동 1360-45,3.2,5,15,37.4859875,127.03147369999999,955.5506504037463,21.76
동경야시장 서울교대점,일본식주점,서초동 1576-1,3.8,4,6,37.4911944,127.01358020000002,814.3899038508517,21.73
풍년참숯갈비,갈비,역삼동 831-46,2.7,6,121,37.4938851,127.0308006,1214.376756623027,21.73
29펍 2호점,"호프,요리주점",역삼동 817-10,3.0,5,125,37.4999828,127.0276513,1621.2511577398575,21.71
별난낙지,"해물,생선",도곡동 957-4,2.0,13,16,37.4852565,127.03540790000001,1308.3003196981626,21.71
돌깨마을 맷돌순두부 강남점,두부전문점,역삼동 825-20,2.2,10,25,37.497717200000004,127.02914740000001,1454.8638585586655,21.71
오륙도,"해물,생선",역삼1동 836-25,3.3,5,4,37.490848299999996,127.0331851,1206.086573572366,21.7
회뜨는사나이 교대점,회,서초동 1577-1,3.0,5,119,37.48996629999999,127.0137943,718.3357183174088,21.68
명동할머니국수 뱅뱅사거리점,국수,도곡동 945-1,4.0,4,0,37.489228000000004,127.03305,1134.2960279558356,21.67
강남장어,장어,서초동 1330-6,4.0,4,0,37.49303010000001,127.02839159999999,996.2611301065933,21.67
저스트기네스 강남역점,"호프,요리주점",역삼동 825-20,4.0,4,0,37.497717200000004,127.02914740000001,1454.8638585586655,21.67
짚신매운갈비찜 역삼점,갈비,역삼동 831-25,2.1,10,110,37.4948606,127.0305415,1274.4779732304082,21.66
칭하이,중화요리,서초동 1443-25,2.3,9,25,37.485442600000006,127.0201361,126.22839664728168,21.66
북해도,일식집,서초동 1717-12,3.0,6,2,37.4930259,127.0106227,1145.2561845831287,21.65
노랑통닭 남부터미널점,치킨,서초동 1603-67,3.0,6,2,37.485445399999996,127.017325,316.9281422429374,21.65
미소야 서초점,"돈까스,우동",서초동 1458-6,2.3,10,4,37.4842058,127.01367890000002,666.8678195600936,21.64
맥도날드 서울교대점,패스트푸드,서초동 1674-5,1.8,18,8,37.493951700000004,127.0161834,918.2262941799344,21.62
연안식당 양재역점,"해물,생선",도곡동 952-9,2.6,7,22,37.4858455,127.03393600000001,1173.3662458833328,21.61
청담동마녀김밥 강남역점,분식,서초동 1337-17,2.3,9,21,37.4925425,127.0292585,1013.3493687275533,21.57
본죽 남부터미널점,죽,서초동 1603-67,2.0,14,4,37.485445399999996,127.017325,316.9281422429374,21.57
랭맥,한식,역삼동 831-3,3.0,5,95,37.4946558,127.0300658,1229.2539808097156,21.55
함바그또카레,일식,서초동 1330-6,3.8,4,4,37.49303010000001,127.02839159999999,996.2611301065933,21.53
거제지심도 서초점,회,서초동 1716-7,3.8,4,4,37.4936685,127.0120425,1101.9079891726003,21.53
굿앤닭 강남점,치킨,서초동 1337-22,3.8,4,4,37.4914697,127.02996110000001,989.2566071312248,21.53
한솥도시락 우성아파트사거리점,도시락,역삼동 831-45,2.7,7,4,37.4936281,127.0309928,1207.975764633032,21.48
서초갈비 서초본점,"육류,고기",서초동 1451-77,2.6,7,17,37.4817714,127.0129511,859.8031774248926,21.47
돈가네 교대점,"찌개,전골",서초동 1315,3.2,5,8,37.4972188,127.02267830000001,1205.2870447374346,21.42
막창뱅크,"곱창,막창",서초동 1307-19,2.8,6,21,37.5000875,127.0254909,1569.9698389820237,21.42
국수마을,국수,서초동 1432-24,3.4,5,0,37.484130900000004,127.0222303,297.3272135378622,21.38
송사부수제쌀고로케 남부터미널점,"제과,베이커리",서초동 1446-1,3.0,5,70,37.4842039,127.01539869999999,529.9291180111267,21.37
종로삼계탕 강남점,삼계탕,역삼동 819-2,2.6,7,14,37.499309499999995,127.028826,1596.2708701683148,21.36
카츠네치킨 교대역본점,치킨,서초동 1572-13,3.5,4,57,37.4925032,127.01168919999999,1035.741758621497,21.35
BHC치킨 양재역점,치킨,양재동 12-10,2.3,9,13,37.4839907,127.03510190000002,1304.1569502262164,21.3
짝꿍떡볶이,떡볶이,서초동 1695-7,2.7,6,56,37.4950037,127.01504320000001,1067.8778832370176,21.28
고부김밥,분식,서초동 1337-14,3.2,5,6,37.49219470000001,127.0290425,973.5739405411994,21.27
스타닭갈비&쭈꾸미,닭요리,역삼동 818-1,2.2,9,52,37.4997005,127.0280598,1606.5631805723606,21.22
바르다김선생 남부터미널점,분식,서초동 1599-2,2.3,9,11,37.486789,127.0145337,541.7722508649883,21.21
갯마을,"해물,생선",서초1동 1670-7,2.7,7,2,37.4937628,127.01633290000001,893.5942708938817,21.18
오징어나라 서초점,"해물,생선",서초동 1589-12,3.3,5,1,37.48580850000001,127.0134317,642.6316655006121,21.16
본죽&비빔밥cafe 서초법원점,퓨전한식,서초동 1572-15,2.5,8,3,37.4924097,127.01138970000001,1049.53658193151,21.13
에머이 강남우성사거리점,베트남음식,서초동 1329-9,2.7,6,36,37.49300789999999,127.02930900000001,1051.61485321294,21.03
내가찜한닭 강남역점,닭요리,역삼동 817-11,2.3,8,53,37.4998176,127.02772240000002,1606.6984832202731,21.03
생태와,"해물,생선",역삼동 839-1,3.0,6,0,37.4905969,127.03351289999999,1221.9368768704014,21.01
가양양꼬치,양꼬치,양재동 11-64,2.4,8,12,37.4839372,127.03715249999999,1482.5443440356198,21.01
영동불백,한식,역삼동 832-33,3.8,4,1,37.4923487,127.0319943,1192.790686651486,20.99
동명태,"해물,생선",서초동 1327-29,2.7,7,1,37.4949034,127.0274129,1108.244682811627,20.94
부산아지매국밥 서초역점,국밥,서초동 1544-2,2.8,6,8,37.4890586,127.00944820000001,1029.647920587763,20.9
소공동뚝배기집 교대점,"찌개,전골",서초동 1659-17,3.5,4,23,37.4927691,127.0161311,803.8194683780548,20.83
크래프트한스 강남2호점,"호프,요리주점",역삼동 818-1,3.3,4,146,37.4997005,127.0280598,1606.5631805723606,20.81
868식당,갈비,역삼동 825-6,2.1,10,18,37.4966876,127.02906580000001,1354.0196341263818,20.63
남운 강남점,중화요리,서초동 1316-3,2.2,9,18,37.49785869999999,127.02400220000001,1297.1517471144648,20.62
레이지버드 강남점,카페,역삼동 826-26,3.8,4,0,37.49645570000001,127.0296885,1363.8473124463044,20.59
전주식당,한식,서초동 1670-4,3.8,4,0,37.4934479,127.0162737,864.3981256463002,20.59
빵장수단팥빵 강남점,"제과,베이커리",서초동 1330-11,3.0,5,17,37.4929498,127.02892759999999,1022.9252389726712,20.57
두배족발,"족발,보쌈",서초동 1364-39,3.0,5,17,37.4854992,127.03081509999998,902.6144096776527,20.57
청담주막 강남역점,"호프,요리주점",서초동 1317-13,3.0,5,17,37.498416799999994,127.02634950000001,1417.0924951656484,20.57
명선헌 서초점,한정식,서초동 1344-12,3.2,5,1,37.4873605,127.02848090000002,696.4275500541459,20.53
카페설리번 서초점,카페,서초동 1606-3,3.0,5,16,37.487132,127.0228437,204.91717916616463,20.53
카페3,카페,서초동 1366-13,3.0,5,16,37.484650200000004,127.0328885,1098.0988661915342,20.53
파리바게뜨 뱅뱅사거리점,"제과,베이커리",서울 강남구 역삼동 837-10,2.7,7,0,37.49027529999999,127.03165349999999,1056.7552749008048,20.53
카페수,카페,서초동 1560-2,3.7,4,1,37.48971239999999,127.01091299999999,931.5511561289612,20.45
스타벅스 서초법원,커피전문점,서초동 1572-5,3.5,4,11,37.4927836,127.0120395,1033.1431465078226,20.42
설빙 교대역점,디저트카페,서초동 1659-13,1.5,24,19,37.4929839,127.01595520000001,832.260633490068,20.39
한마음식당,분식,역삼동 825-36,3.0,5,11,37.49792410000001,127.0287749,1458.2308962149186,20.33
W23 서초점,와인바,서초동 1604-20,3.0,5,11,37.4863197,127.02039369999999,30.946182489002837,20.33
폴바셋 강남GT타워점,커피전문점,서초동 1317-28,2.7,6,10,37.4980823,127.0257748,1364.7862717448634,20.31
마포갈비,갈비,도곡동 920-9,2.8,6,2,37.48552539999999,127.03754599999999,1493.5670060776947,20.25
지호한방삼계탕 서초점,닭요리,서초동 1460-1,2.3,8,13,37.483628499999995,127.010585,944.7412027089624,20.24
칭진,중화요리,서초동 1571-15,2.3,7,105,37.492489,127.0124686,983.1033986592007,20.23
팔당반점 서초직영점,중화요리,서초동 1425-15,3.5,4,7,37.4827489,127.01920790000001,436.2045453251366,20.18
아마스빈 강남역1호점,카페,역삼동 826-29,3.5,4,7,37.4962612,127.0301445,1370.5276323475905,20.18
카페달씨 역삼점,카페,역삼동 823,3.2,5,0,37.498746399999995,127.03169,1673.7401180992613,20.13
미토요,"돈까스,우동",서초동 1602-1,3.3,4,43,37.48490579999999,127.0147439,551.4578376257025,20.1
양재족발,"족발,보쌈",양재동 1-7,3.5,4,6,37.484274400000004,127.0379522,1545.407156542274,20.1
희래식당,중화요리,역삼동 820-1,1.9,11,49,37.499566200000004,127.02750619999999,1573.5507022388604,20.1
서초동연가 역삼점,"육류,고기",역삼동 831-32,3.5,4,6,37.4944037,127.03063329999999,1243.6151065370293,20.1
초밥집,"초밥,롤",서초동 1533,3.0,5,7,37.48414229999999,127.0099699,979.1849477074263,20.09
퀴즈노스서브 남부터미널점,샌드위치,서초동 1457-2,1.4,30,11,37.4843464,127.01444140000001,598.8272852239754,20.07
함평한우정육식당 서초본점,"육류,고기",서초동 1595-6,3.5,4,5,37.4872182,127.01391409999998,600.8332715005296,20.01
타코비 양재역점,일식,도곡동 959-17,3.0,5,6,37.4857824,127.0368055,1426.527970229035,20.01
신의주찹쌀순대 뱅뱅사거리점,순대,역삼동 837-22,2.8,6,1,37.4905651,127.0326019,1146.3517861559485,20.01
