name,category,address,score,eval_cnt,review_cnt
가츠몽 서초점,"돈까스,우동",서초동 1550-6,3.4,9,13
통큰집 서초본점,국밥,서초동 1543-5,4.5,4,2
교대전집,"호프,요리주점",서초동 1580-5,1.0,1,4
서초불쭈꾸미,"해물,생선",서초동 1552-6,3.7,6,5
미스터힐링 서초점,테마카페,서초동 1552-4,0.0,0,2
진도,회,서초동 1543-6,4.0,2,2
365베버리지라운지,전통찻집,서초동 1542-13,4.0,3,13
봉삼한방삼계탕,삼계탕,서초동 1543-8,5.0,1,0
도시수산시장 서초점,회,서초동 1550-1,1.0,1,12
도화중국요리,중화요리,서초동 1538-1,4.0,5,2
아리스타커피 서초점,커피전문점,서초동 1550-2,5.0,1,1
빈트리커피 서초점,커피전문점,서초동 1543-3,2.0,2,3
종가집고추장주물럭,"육류,고기",서초동 1580-5,4.0,7,0
정수산회오징어,회,서초동 1550-2,0.0,0,1
명인만두 서초점,분식,서초동 1538-1,3.0,2,1
